region;province;property_id;property_type;postal_code;city_name;address;price;bedroom_count;livable_surface;total_surface;build_year;garage;peb_category
Flandre;Antwerpen;K9WAI;Appartment;8790;Waregem;Jozef Duthoystraat 16;10000.0;;;;2009.0;1;
Flandre;Antwerpen;LISI1;Appartment;8480;Ichtegem;Zuidstraat 53 / A;875000.0;;4750.0;3961.0;;0;
Flandre;Antwerpen;LMJK6;Appartment;1050;Ixelles;37 55;475000.0;2.0;106.0;106.0;1978.0;0;160
Flandre;Antwerpen;LK7JS;Appartment;3630;Eisden;Oude Baan 81;184000.0;;;;2014.0;0;
Flandre;Antwerpen;LKVZG;House;3665;As;Bilzerweg 63;310000.0;4.0;381.0;1733.0;1950.0;0;299
Flandre;Antwerpen;LI8US;House;3800;Sint-Truiden;Minderbroedersstraat 35;174000.0;2.0;116.0;42.0;1850.0;0;476
Flandre;Antwerpen;LMJII;House;8980;Zonnebeke;Bornstraat 6;495000.0;4.0;179.0;3019.0;;1;480
Flandre;Antwerpen;LJMLF;Appartment;2030;Antwerpen;Noorderlaan 98;595000.0;;331.3;331.3;1960.0;0;
Flandre;Antwerpen;LKWIG;House;8800;Rumbeke;Louis Leynstraat 52;699000.0;8.0;669.0;2287.0;1964.0;1;545
Flandre;Antwerpen;LI7QU;Appartment;2930;Brasschaat;Vriesedonklei 26 / D;949000.0;3.0;198.0;198.0;1981.0;1;317
Flandre;Antwerpen;LI8EV;House;3740;Munsterbilzen;GROENKLOOSTERSTRAAT 25;287000.0;5.0;206.0;287.0;1941.0;0;466
Flandre;Antwerpen;LMJPM;Appartment;8620;Nieuwpoort;Albert I laan 17 / 0301;616000.0;3.0;148.0;148.0;2022.0;0;
Flandre;Antwerpen;KJG5Z;House;3670;Gruitrode;Roesstraat 13;1199000.0;9.0;773.0;20542.0;1934.0;0;440
Flandre;Antwerpen;LJ2KL;House;2890;Sint-Amands;Hekkestraat 44;499000.0;3.0;232.0;242.0;1930.0;1;117
Flandre;Antwerpen;LMIWQ;House;8710;Sint-Baafs-Vijve;Wakkensteenweg 80;265000.0;3.0;145.0;427.0;1981.0;1;299
Flandre;Antwerpen;LJMO4;Appartment;8790;Waregem;Roger Vansteenbruggestraat 105 / 1;399000.0;2.0;116.0;116.0;2019.0;0;92
Flandre;Antwerpen;LHKJ2;Appartment;9870;Olsene;Centrumstraat 18 / 102;200000.0;1.0;86.0;86.0;2013.0;1;88
Flandre;Antwerpen;LGZZ0;House;3650;Dilsen-Stokkem;Harmonielaan 31;;3.0;153.0;495.0;2014.0;1;121
Flandre;Antwerpen;LMJC8;Appartment;8620;Nieuwpoort;Willem de Roolaan 63 / GLV;179000.0;1.0;117.0;117.0;;1;280
Flandre;Antwerpen;LLZVZ;House;3910;Neerpelt;Skiffel 13/15;323000.0;3.0;190.0;963.0;1933.0;0;336
Flandre;Antwerpen;K9WBC;Appartment;8650;Houthulst;Merkemstraat 47c;190260.0;;;1057.0;;0;
Flandre;Antwerpen;LHL8U;Appartment;2360;Oud-Turnhout;Steenweg op Turnhout 37 / 5;390000.0;;202.0;202.0;1986.0;1;
Flandre;Antwerpen;LM096;Appartment;9300;Aalst;Rozemarijnstraat 1 / 2.1;248000.0;2.0;89.0;89.0;1930.0;0;187
Flandre;Antwerpen;LGZ7F;Appartment;9900;Eeklo;Hugo Verrieststraat 14;395000.0;5.0;;;;1;224
Flandre;Antwerpen;LKWBF;Appartment;8300;Het Zoute;Westhinderstraat 7 / 25;1950000.0;2.0;81.0;81.0;1980.0;0;151
Flandre;Antwerpen;LI8UQ;Appartment;3800;Sint-Truiden;Minderbroedersstraat 37;174000.0;;150.0;52.0;1850.0;0;421
Flandre;Antwerpen;LMJ8W;House;3665;As;Blessereindstraat 3 / A;;3.0;200.0;309.0;2019.0;0;38
Flandre;Antwerpen;LLZOP;Appartment;3800;Sint-Truiden;Leeuwerweg 45;149000.0;;;707.0;;0;
Flandre;Antwerpen;LMJRR;Appartment;2950;Kapellen;Kapelsestraat 61;;;;;;0;
Flandre;Antwerpen;LKV3X;House;3530;Houthalen;Olmenstraat 57;669000.0;4.0;373.0;2680.0;1969.0;1;210
Flandre;Antwerpen;LLZO1;Appartment;3630;Mechelen-aan-de-Maas;Koning Albertlaan 41 / 2.2;189000.0;2.0;90.0;90.0;1979.0;0;280
Flandre;Antwerpen;LLZBB;Appartment;8370;Blankenberge;Maurice Devriendtlaan 10 / 04;214900.0;1.0;63.0;63.0;2003.0;0;239
Flandre;Antwerpen;L2LVI;Appartment;8790;Waregem;Molenstraat 67 / 3.05;706000.0;2.0;112.0;112.0;2019.0;0;
Flandre;Antwerpen;LMJQT;Appartment;8400;Oostende;Leffingestraat 151 / 04.02;159000.0;2.0;80.0;80.0;1980.0;0;277
Flandre;Antwerpen;LLZP5;House;3740;Bilzen;328a;397000.0;3.0;155.0;155.0;2026.0;0;
Flandre;Antwerpen;L1WPW;House;9200;Appels;Heidestraat 6;396295.0;3.0;164.0;150.0;2026.0;1;
Flandre;Antwerpen;LI8EU;House;3732;Schalkhoven;HERTSTRAAT 27;;3.0;;161.0;1976.0;1;270
Flandre;Antwerpen;LMJ8T;Appartment;3600;Genk;Reinpadstraat 21 / 8;285000.0;4.0;110.0;110.0;1965.0;1;217
Flandre;Antwerpen;LKVR1;Appartment;3201;Langdorp;Oude Mechelsebaan 302;159000.0;;;978.0;;0;
Flandre;Antwerpen;LMJ8J;House;3530;Houthalen;Varenstraat 63;214000.0;3.0;129.0;436.0;1940.0;1;530
Flandre;Antwerpen;L5EDL;Appartment;2800;Mechelen;Oscar Van Kesbeeckstraat 9 / 205;265000.0;2.0;121.0;121.0;1967.0;0;191
Flandre;Antwerpen;LMJP9;House;2470;Retie;Noordstraat 25;398000.0;3.0;241.0;812.0;1970.0;1;323
Flandre;Antwerpen;LFKYV;Appartment;8370;Blankenberge;Zeedijk 187 / 9.01;175000.0;;40.0;40.0;1970.0;0;202
Flandre;Antwerpen;LHM47;House;7910;Arc-Ainières;Rue Beaureux 29;2280000.0;7.0;1500.0;80000.0;;1;167
Flandre;Antwerpen;LK7WQ;Appartment;3900;Overpelt;Dorpsstraat 95 / 12;390500.0;3.0;109.0;109.0;2025.0;0;
Flandre;Antwerpen;KYQT3;Appartment;3600;Genk;Hasseltweg 344;235000.0;;146.0;146.0;1934.0;0;
Flandre;Antwerpen;LLFPA;Appartment;3900;Overpelt;Gilbert Seresiaplein 15C / 5;250000.0;1.0;89.0;89.0;2025.0;0;
Flandre;Antwerpen;LLZOL;Appartment;3800;Sint-Truiden;Leeuwerweg 45;149000.0;;;717.0;;0;
Flandre;Antwerpen;LKVNA;Appartment;3700;Mal;Kleinmeersstraat 35;179000.0;;;1455.0;;0;
Flandre;Antwerpen;LMJZG;Appartment;3271;Zichem;Ernest Claesstraat 67 / B3.02;455000.0;2.0;121.0;121.0;2026.0;0;
Flandre;Antwerpen;LHKJ6;Appartment;3530;Helchteren;Verbindingsstraat Lot 2;165000.0;;;682.0;;0;
Flandre;Antwerpen;LI7CF;House;3500;Sint-Lambrechts-Herk;Oude Truierbaan 148D / B0.04;399000.0;3.0;;;;0;45
Flandre;Antwerpen;L4PGI;House;3600;Genk;André Dumontlaan 202;399000.0;;428.0;593.0;1960.0;1;445
