Code INS;Locality;Salary med/decla;Salary mean/hab;postcode
46020;Sint-Gillis-Waas;34 106;26 639;9170
46021;Sint-Niklaas;30 191;22 383;9112
46024;Stekene;33 945;26 071;9190
46025;Tamise;32 566;24 971;9140
50000;Province de Hainaut;26 952;20 388;
51000;Arrondissement d’Ath;29 563;23 169;
51004;Ath;29 253;23 849;7822
51008;Beloeil;29 017;21 850;7973
51009;Bernissart;27 958;21 265;7322
51012;Brugelette;29 901;21 707;7943
51014;Chièvres;31 258;22 808;7950
51017;Ellezelles;31 252;24 496;7890
51019;Flobecq;29 573;24 165;7880
51065;Frasnes-lez-Anvaing;31 444;23 524;7911
51067;Enghien;30 212;24 240;
51068;Silly;33 248;26 645;7850
51069;Lessines;28 139;21 493;7860
52000;Arrondissement de Charleroi;25 697;18 722;
52010;Chapelle-lez-Herlaimont;26 468;20 482;7160
52011;Charleroi;24 182;16 725;6030
52012;Châtelet;25 067;17 788;6200
52015;Courcelles;26 993;19 717;6180
52018;Farciennes;24 575;15 317;6240
52021;Fleurus;27 099;20 496;6220
52022;Fontaine-l’Evêque;26 503;19 904;6141
52025;Gerpinnes;32 680;26 321;6280
52048;Montigny-le-Tilleul;32 285;26 092;6111
52055;Pont-à-Celles;32 047;24 554;6230
52074;Aiseau-Presles;27 629;20 323;6250
52075;Les Bons Villers;31 559;25 817;6211
53000;Arrondissement de Mons;26 471;20 149;
53014;Boussu;24 520;17 922;7301
53020;Dour;25 135;19 458;7370
53028;Frameries;26 015;19 636;7080
53039;Hensies;27 043;20 198;7350
53044;Jurbise;37 017;25 447;7050
53046;Lens;30 851;22 819;7870
53053;Mons;26 657;20 388;7030
53065;Quaregnon;24 585;17 720;7390
53068;Quiévrain;24 495;18 594;7380
53070;Saint-Ghislain;28 024;21 986;7330
53082;Colfontaine;24 186;17 006;7340
53083;Honnelles;30 680;23 258;7387
53084;Quévy;31 224;24 621;7041
55000;Arrondissement de Soignies;29 225;22 340;
55004;Braine-le-Comte;30 297;23 203;7090
55035;Le Roeulx;31 264;24 240;7070
55040;Soignies;29 807;22 272;7061
55050;Ecaussinnes;30 081;23 149;7190
55085;Seneffe;30 585;25 273;7180
55086;Manage;26 297;19 096;7170
56000;Arrondissement de Thuin;28 490;22 050;
56001;Anderlues;27 075;19 644;6150
56005;Beaumont;27 051;21 521;6511
56016;Chimay;25 815;20 065;6463
56022;Erquelinnes;26 329;19 574;6560
56029;Froidchapelle;26 249;20 585;6441
56044;Lobbes;31 125;24 329;6543
56049;Merbes-le-Château;28 280;21 005;6567
56051;Momignies;24 956;17 784;6594
56078;Thuin;30 651;23 889;6534
56086;Ham-sur-Heure-Nalinnes;34 847;27 546;6120
56088;Sivry-Rance;27 840;20 913;6470
57000;Arrondissement de Tournai-Mouscron;27 445;20 804;
57003;Antoing;27 169;20 657;7642
57018;Celles;30 327;22 541;7760
57027;Estaimpuis;28 921;21 983;7730
57062;Pecq;28 562;21 875;7742
57064;Péruwelz;26 851;20 708;7608
57072;Rumes;29 737;21 211;7610
57081;Tournai;27 396;22 157;7530
57093;Brunehaut;28 963;22 603;7621
57094;Leuze-en-Hainaut;28 674;22 111;7903
57095;Mont-de-l’Enclus;31 382;23 938;7750
57096;Mouscron;26 488;18 694;7712
57097;Comines-Warneton;26 750;18 641;7782
58000;Arrondissement de La Louvière;26 249;19 723;
58001;La Louvière;25 645;18 708;7100
58002;Binche;26 784;21 034;7133
58003;Estinnes;29 375;22 664;7120
58004;Morlanwelz;26 428;20 501;7141
60000;Province de Liège;28 192;21 645;
61000;Arrondissement de Huy;30 210;24 024;
61003;Amay;28 991;22 067;4540
61010;Burdinne;35 978;27 373;4210
61012;Clavier;31 770;24 431;4560
61019;Ferrières;31 467;24 191;4190
61024;Hamoir;28 205;22 917;4181
61028;Héron;36 671;25 826;4218
61031;Huy;26 249;21 558;4500
61039;Marchin;32 096;24 829;4570
61041;Modave;33 618;25 401;4577
61043;Nandrin;35 844;29 131;4550
61048;Ouffet;32 104;24 082;4590
61063;Verlaine;35 996;27 241;4537
61068;Villers-Le-Bouillet;31 774;25 060;4530
61072;Wanze;30 756;24 707;4520
61079;Anthisnes;32 846;25 631;4160
61080;Engis;27 934;20 340;4480
61081;Tinlot;32 570;26 919;4557
62000;Arrondissement de Liège;27 133;20 773;
62003;Ans;27 900;20 235;4432
62006;Awans;31 762;24 822;4099
62009;Aywaille;28 522;23 310;4920
62011;Bassenge;30 166;23 194;4690
62015;Beyne-Heusay;27 613;20 706;4610
62022;Chaudfontaine;33 559;29 162;4050
62026;Comblain-au-Pont;26 962;20 958;4171
62027;Dalhem;33 552;25 881;4607
62032;Esneux;33 131;27 309;4130
62038;Fléron;28 435;21 964;4623
62051;Herstal;26 065;18 229;4041
62060;Juprelle;33 516;24 902;4453
62063;Liège;24 385;19 002;4020
62079;Oupeye;28 960;21 814;4682
62093;Saint-Nicolas;25 684;17 237;4420
62096;Seraing;24 937;17 731;4102
62099;Soumagne;30 092;23 237;4630
62100;Sprimont;32 326;26 839;4141
62108;Visé;29 080;21 907;4600
62118;Grâce-Hollogne;27 418;19 024;4460
62119;Blegny;31 950;24 621;4672
62120;Flémalle;27 902;20 551;4400
62121;Neupré;37 495;29 899;4121
62122;Trooz;30 673;23 415;
63000;Arrondissement de Verviers;28 921;21 575;
63001;Amblève;31 875;22 315;4771
63003;Aubel;29 754;24 024;4880
63004;Baelen;30 830;23 281;4837
63012;Bullange;30 516;22 019;4761
63013;Butgenbach;30 320;21 905;4750
63020;Dison;24 219;15 516;4821
63023;Eupen;29 030;22 148;4701
63035;Herve;31 280;23 928;4650
63038;Jalhay;34 225;26 419;4845
63040;La Calamine;28 598;20 566;4721
63045;Lierneux;29 504;22 168;4990
63046;Limbourg;29 090;22 433;4830
63048;Lontzen;32 158;22 313;4711
63049;Malmedy;28 823;22 388;4960
63057;Olne;35 614;26 424;4870
63058;Pepinster;28 097;21 288;4860
63061;Raeren;32 304;24 528;4730
63067;Saint-Vith;32 039;23 670;4780
63072;Spa;26 802;22 216;4900
63073;Stavelot;29 770;22 377;4970
63075;Stoumont;32 182;25 034;4987
63076;Theux;31 608;25 060;4910
63079;Verviers;24 989;17 861;4801
63080;Waimes;29 678;21 637;4950
63084;Welkenraedt;29 738;22 467;4841
63086;Trois-Ponts;28 682;22 090;4980
63087;Burg-Reuland;33 647;22 739;4790
63088;Plombières;29 113;21 094;4852
63089;Thimister-Clermont;33 451;25 085;4890
64000;Arrondissement de Waremme;31 876;25 130;
64008;Berloz;34 737;25 220;4257
64015;Braives;33 394;25 057;4263
64021;Crisnée;32 635;26 672;4367
